,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
0,0.2821308364935253,0.6013810723399811,0.4470609668067585,0.12304725376674766,0.6074352788639465,0.48282338639823486,0.1622300759299859,0.32189432688199116,0.6982349093054454,0.5174181163655562,0.0,0.2751088848090995,0.5446519459861003
1,0.2821308364935253,0.6013810723399811,0.4470609668067585,0.608020593695023,0.4188869582763597,0.5496642128007295,0.1622300759299859,0.32189432688199116,0.6982349093054454,0.5174181163655562,0.0,0.3445394289755848,0.36507374136008125
2,0.45785721688059366,0.6013810723399811,0.45572116201974966,0.5027997956396985,0.4956530602298741,0.48282338639823486,0.1622300759299859,0.32189432688199116,0.6982349093054454,0.5174181163655562,0.0,0.3445394289755848,0.5032108218416345
3,0.4572011717271498,0.5278978646246539,0.45268530022921777,0.5027997956396985,0.4956530602298741,0.48282338639823486,0.1622300759299859,0.32189432688199116,0.6982349093054454,0.5174181163655562,0.0,0.3445394289755848,0.5446519459861003
4,0.4190841178750878,0.3074482414786708,0.48850846935749437,0.5027997956396985,0.4956530602298741,0.48282338639823486,0.1622300759299859,0.32189432688199116,0.6982349093054454,0.5174181163655562,0.0,0.3445394289755848,0.6827890264676535
5,0.41751850607265895,0.28295383890689507,0.32335758795255803,0.5027997956396985,0.4956530602298741,0.48282338639823486,0.29393783851485633,0.5925784888373262,0.2714286487694357,0.22827973287207665,0.0,0.4834005173085554,0.36507374136008125
6,0.6088828395510785,0.3564370466222231,0.5382966027222178,0.608020593695023,0.4188869582763597,0.5496642128007295,0.29393783851485633,0.5925784888373262,0.2714286487694357,0.22827973287207665,0.0,0.4834005173085554,0.5032108218416345
7,0.6041389665676619,0.7728418903424119,0.8613122972348138,0.608020593695023,0.4188869582763597,0.5496642128007295,0.7820313116234937,0.754988986010527,0.3425630255254373,0.74872882316034,0.0,0.4834005173085554,0.5446519459861003
8,0.4863726170657554,0.919808305773067,0.5650121864788986,0.608020593695023,0.4188869582763597,0.5496642128007295,0.7820313116234937,0.754988986010527,0.3425630255254373,0.74872882316034,0.0,0.4834005173085554,0.6827890264676535
9,0.47823794037393863,0.5034034620528782,0.9869969753628353,0.608020593695023,0.4188869582763597,0.5496642128007295,0.7820313116234937,0.754988986010527,0.3425630255254373,0.74872882316034,0.0,0.622261605641526,0.36507374136008125
10,0.2323514312137591,0.4054258517657745,0.500651916519622,0.608020593695023,0.4188869582763597,0.5496642128007295,0.363665477530376,0.5023504348522128,0.5045913281363279,0.5174181163655562,0.0,0.622261605641526,0.5032108218416345
11,0.4863726170657554,0.4789090594811025,0.3433942757700687,0.608020593695023,0.4188869582763597,0.5496642128007295,0.363665477530376,0.5023504348522128,0.5045913281363279,0.5174181163655562,0.0,0.622261605641526,0.5446519459861003
12,0.6996321487215736,0.3074482414786708,0.4842582628507497,0.608020593695023,0.4188869582763597,0.5496642128007295,0.363665477530376,0.5023504348522128,0.5045913281363279,0.5174181163655562,0.0,0.622261605641526,0.6827890264676535
13,0.48927607499014814,0.6013810723399811,0.1818864285137706,0.608020593695023,0.4188869582763597,0.5496642128007295,0.1622300759299859,0.32189432688199116,0.6982349093054454,0.5174181163655562,0.0,0.6916921498080113,0.36507374136008125
14,0.6088828395510785,0.23396503376334365,0.18856532445294083,0.608020593695023,0.4188869582763597,0.5496642128007295,0.1622300759299859,0.32189432688199116,0.6982349093054454,0.5174181163655562,0.0,0.6916921498080113,0.5032108218416345
15,0.7312375811452143,0.4054258517657745,0.3057495895674729,0.608020593695023,0.4188869582763597,0.5496642128007295,0.29393783851485633,0.5925784888373262,0.2714286487694357,0.22827973287207665,0.0,0.6916921498080113,0.5446519459861003
16,0.8666402908598673,0.25845943633511936,0.3263934497430899,0.608020593695023,0.4188869582763597,0.5496642128007295,0.29393783851485633,0.5925784888373262,0.2714286487694357,0.22827973287207665,0.0,0.6916921498080113,0.6827890264676535
17,0.47823794037393863,0.5278978646246539,0.12299070977745141,0.5027997956396985,0.4956530602298741,0.48282338639823486,0.7820313116234937,0.754988986010527,0.3425630255254373,0.74872882316034,1.0,0.2751088848090995,0.36507374136008125
18,0.2323514312137591,0.3319426440504474,0.2753909716621537,0.5027997956396985,0.4956530602298741,0.48282338639823486,0.363665477530376,0.5023504348522128,0.5045913281363279,0.5174181163655562,1.0,0.2751088848090995,0.5032108218416345
19,0.6996321487215736,0.23396503376334365,0.3761815831078134,0.5027997956396985,0.4956530602298741,0.48282338639823486,0.363665477530376,0.5023504348522128,0.5045913281363279,0.5174181163655562,1.0,0.2751088848090995,0.5446519459861003
20,0.42249169859095126,0.413447588298439,0.6886301316381063,0.6609834861557576,0.5014359449715364,0.2660316757711495,0.4302115631588233,0.9067465326156348,0.5514644106751203,0.5943668513168158,1.0,0.2751088848090995,0.6827890264676535
21,0.4056858511793877,0.387289649100766,0.5458983683038058,0.71393022435115,0.5570368768926548,0.7722489644187539,0.6694796558062363,0.656355742052305,0.949222785021286,0.5354105050923325,1.0,0.3445394289755848,0.36507374136008125
22,0.3185238140889739,0.6200747379036269,0.42813786035877277,0.4399205547508984,0.561911630310034,0.6031347577936815,0.4237871415390086,0.5285382226832365,0.5645116732910622,0.39655409659561347,1.0,0.3445394289755848,0.5032108218416345
